11.00-19:00	19:00-23:00	23:00-7:00	7:00-9:00	9:00-11:00	high	low
689744	360272	725824	184448	184800	16	11
638704	330792	691152	173448	179608	18	12
684728	371536	660264	168432	171160	17	12
712096	373824	726880	185240	184536	18	13
713240	372592	732512	187000	189200	18	14
714296	370832	735328	189992	190696	18	14
709104	370128	733040	188144	187704	17	12
696432	360448	727496	186648	182072	15	12
597256	299376	700656	179608	181720	16	13
561088	304656	533104	140888	134288	18	13
671792	369600	651904	167728	168520	19	14
700128	365288	721952	193600	184536	21	14
730224	386144	743864	194128	190960	23	14
743864	390280	764280	198440	197648	24	14
727232	379192	777040	197384	197736	24	14
675048	347952	709104	179784	182248	24	16
752048	413952	709192	179080	185240	26	18
788128	410696	798248	202664	203720	26	19
803000	415976	809512	208560	203808	25	19
771672	394416	812152	209440	206184	26	19
772728	402952	783200	202136	199584	26	19
720896	363792	787512	201432	199672	24	11
672936	351736	695816	178112	177320	13	8
745360	407880	663960	168256	168784	12	11
777216	386760	829576	218240	216480	15	13
