,C,alpha,gamma1,gamma2,kr err,kr result,lsq kr err,lsq svr err,svr err,svr result
0,1000000.0,0.35,0.1,0.1,33353.4324292,65206.5675708,3342574937.17,1939798488.9,0.117453852596,98559.8825461
1,1000000.0,0.35,0.1,0.1,4494.58053061,47705.4194694,3342574937.17,1939798488.9,0.0766848589919,52199.9233151
2,1000000.0,0.35,0.1,0.1,26872.8853193,26872.8853193,3342574937.17,1939798488.9,12265.5859637,12265.5859637
3,1000000.0,0.35,0.1,0.1,5596.69609899,14603.303901,3342574937.17,1939798488.9,17366.0217208,2833.97827917
4,1000000.0,0.35,0.1,0.1,1634.82448928,13565.1755107,3342574937.17,1939798488.9,1742.20985859,16942.2098586
5,1000000.0,0.35,0.1,0.1,10359.5848291,18440.4151709,3342574937.17,1939798488.9,0.089391480542,28799.9106085
6,1000000.0,0.35,0.1,0.1,3146.13830875,23973.8616913,3342574937.17,1939798488.9,0.0967198174112,27119.9032802
7,1000000.0,0.35,0.1,0.1,23123.9840456,28443.9840456,3342574937.17,1939798488.9,17456.005672,22776.005672
8,1000000.0,0.35,0.1,0.1,28137.6154107,30862.3845893,3342574937.17,1939798488.9,34351.5319922,24648.4680078
9,1000000.0,0.35,0.1,0.1,3179.83981743,29299.8398174,3342574937.17,1939798488.9,0.0753786802743,26120.0753787
10,1000000.0,0.35,0.1,0.1,,23178.8388505,3342574937.17,1939798488.9,,20419.4788748
11,1000000.0,0.35,0.1,0.1,,14842.1636185,3342574937.17,1939798488.9,,13354.2680261
12,1000000.0,0.35,0.1,0.1,,7589.35550332,3342574937.17,1939798488.9,,13798.230103
13,1000000.0,0.35,0.1,0.1,,3077.4005461,3342574937.17,1939798488.9,,21870.5223695
14,1000000.0,0.35,0.1,0.1,,983.072206921,3342574937.17,1939798488.9,,31408.7693247
15,1000000.0,0.35,0.1,0.1,,244.738585556,3342574937.17,1939798488.9,,37939.9708895
