,C,alpha,gamma1,gamma2,kr err,kr result,lsq kr err,lsq svr err,svr err,svr result
0,1000000.0,0.35,0.1,0.1,56342.8784112,197097.121589,21783340315.0,16504066747.7,0.0761826122762,253440.076183
1,1000000.0,0.35,0.1,0.1,47604.3351012,204515.664899,21783340315.0,16504066747.7,2154.91053613,249965.089464
2,1000000.0,0.35,0.1,0.1,85351.8560878,215951.856088,21783340315.0,16504066747.7,128099.046412,258699.046412
3,1000000.0,0.35,0.1,0.1,39215.0433927,250824.956607,21783340315.0,16504066747.7,0.0993059395114,290040.099306
4,1000000.0,0.35,0.1,0.1,38105.7727788,306054.227221,21783340315.0,16504066747.7,4387.20461234,339772.795388
5,1000000.0,0.35,0.1,0.1,26858.6534318,360741.346568,21783340315.0,16504066747.7,2661.15979337,390261.159793
6,1000000.0,0.35,0.1,0.1,26395.2499743,395764.750026,21783340315.0,16504066747.7,0.0984191031894,422159.901581
7,1000000.0,0.35,0.1,0.1,22339.5907337,402820.409266,21783340315.0,16504066747.7,0.0978847174556,425159.902115
8,1000000.0,0.35,0.1,0.1,19256.9469354,379263.053065,21783340315.0,16504066747.7,7982.98695943,406502.986959
9,1000000.0,0.35,0.1,0.1,61480.525023,324839.474977,21783340315.0,16504066747.7,0.0767537967185,386319.923246
10,1000000.0,0.35,0.1,0.1,,246751.425297,21783340315.0,16504066747.7,,377323.832993
11,1000000.0,0.35,0.1,0.1,,162220.626987,21783340315.0,16504066747.7,,374628.908361
12,1000000.0,0.35,0.1,0.1,,90601.8084102,21783340315.0,16504066747.7,,368351.791367
13,1000000.0,0.35,0.1,0.1,,42451.1266561,21783340315.0,16504066747.7,,357099.958314
14,1000000.0,0.35,0.1,0.1,,16551.6187668,21783340315.0,16504066747.7,,346014.311228
15,1000000.0,0.35,0.1,0.1,,5342.44313419,21783340315.0,16504066747.7,,338833.916344
