,C,alpha,gamma1,gamma2,kr err,kr result,lsq kr err,lsq svr err,svr err,svr result
0,2800000.0,0.1,0.2,0.07,27392.1420762,172607.857924,6371976447.6,2711465795.89,0.0373592806864,200000.037359
1,2800000.0,0.1,0.2,0.07,20722.1206209,150797.879379,6371976447.6,2711465795.89,0.0120603140094,171519.98794
2,2800000.0,0.1,0.2,0.07,63003.9803475,136603.980347,6371976447.6,2711465795.89,50182.4657585,123782.465759
3,2800000.0,0.1,0.2,0.07,20094.970353,143265.029647,6371976447.6,2711465795.89,13899.1340107,149460.865989
4,2800000.0,0.1,0.2,0.07,19131.8570868,166868.142913,6371976447.6,2711465795.89,0.0081758092565,186000.008176
5,2800000.0,0.1,0.2,0.07,9867.06996022,192692.93004,6371976447.6,2711465795.89,0.0395653820597,202559.960435
6,2800000.0,0.1,0.2,0.07,4453.86543392,208853.865434,6371976447.6,2711465795.89,0.0717104549694,204400.07171
7,2800000.0,0.1,0.2,0.07,9243.89995072,212443.899951,6371976447.6,2711465795.89,0.101990360534,203200.10199
8,2800000.0,0.1,0.2,0.07,10916.1096178,205083.890382,6371976447.6,2711465795.89,0.0889610264858,215999.911039
9,2800000.0,0.1,0.2,0.07,11449.7277676,187190.272232,6371976447.6,2711465795.89,0.084990504547,198640.084991
10,2800000.0,0.1,0.2,0.07,,158366.132674,6371976447.6,2711465795.89,,152513.85206
11,2800000.0,0.1,0.2,0.07,,121259.6259,6371976447.6,2711465795.89,,134026.826907
12,2800000.0,0.1,0.2,0.07,,82487.5062671,6371976447.6,2711465795.89,,145974.50233
13,2800000.0,0.1,0.2,0.07,,49287.1671537,6371976447.6,2711465795.89,,159133.544986
14,2800000.0,0.1,0.2,0.07,,25713.3122035,6371976447.6,2711465795.89,,164256.059408
15,2800000.0,0.1,0.2,0.07,,11680.7768842,6371976447.6,2711465795.89,,165345.612332
