,C,alpha,gamma1,gamma2,kr err,kr result,lsq kr err,lsq svr err,svr err,svr result
0,600000.0,0.1,0.03,0.07,21028.9208449,176091.079155,5603808510.43,7560770835.96,0.0559200541757,197119.94408
1,600000.0,0.1,0.03,0.07,24269.4213432,171823.578657,5603808510.43,7560770835.96,2458.06583004,193634.93417
2,600000.0,0.1,0.03,0.07,57911.2546737,177911.254674,5603808510.43,7560770835.96,85843.4095353,205843.409535
3,600000.0,0.1,0.03,0.07,19731.7925265,205855.207474,5603808510.43,7560770835.96,7056.24831345,232643.248313
4,600000.0,0.1,0.03,0.07,17120.4257847,250557.574215,5603808510.43,7560770835.96,0.105147397204,267678.105147
5,600000.0,0.1,0.03,0.07,6467.05613869,294999.943861,5603808510.43,7560770835.96,158.354230606,301308.645769
6,600000.0,0.1,0.03,0.07,5025.51827732,323321.481723,5603808510.43,7560770835.96,4176.20013895,324170.799861
7,600000.0,0.1,0.03,0.07,1721.25114469,328958.748855,5603808510.43,7560770835.96,0.0964746766258,330680.096475
8,600000.0,0.1,0.03,0.07,2895.59502795,312855.595028,5603808510.43,7560770835.96,10880.3227769,320840.322777
9,600000.0,0.1,0.03,0.07,21400.8487642,278232.151236,5603808510.43,7560770835.96,0.140988026513,299632.859012
10,600000.0,0.1,0.03,0.07,,229089.07186,5603808510.43,7560770835.96,,274521.489968
11,600000.0,0.1,0.03,0.07,,171924.702142,5603808510.43,7560770835.96,,252446.400022
12,600000.0,0.1,0.03,0.07,,115812.77371,5603808510.43,7560770835.96,,237679.122162
13,600000.0,0.1,0.03,0.07,,69200.8204074,5603808510.43,7560770835.96,,231214.770174
14,600000.0,0.1,0.03,0.07,,36384.5304771,5603808510.43,7560770835.96,,231514.232552
15,600000.0,0.1,0.03,0.07,,16748.8104985,5603808510.43,7560770835.96,,235875.288033
