,C,alpha,gamma1,gamma2,kr err,kr result,lsq kr err,lsq svr err,svr err,svr result
0,6000000.0,0.78,0.15,0.12,325418.072332,547716.047668,4.20632091123e+11,1.29287659717e+11,0.146383374929,873133.973617
1,6000000.0,0.78,0.15,0.12,185392.755404,569742.254596,4.20632091123e+11,1.29287659717e+11,0.211353983963,755135.221354
2,6000000.0,0.78,0.15,0.12,248017.776186,574232.796186,4.20632091123e+11,1.29287659717e+11,347309.453165,673524.473165
3,6000000.0,0.78,0.15,0.12,173974.21017,626680.81983,4.20632091123e+11,1.29287659717e+11,68796.3906426,731858.639357
4,6000000.0,0.78,0.15,0.12,144458.730671,733874.309329,4.20632091123e+11,1.29287659717e+11,0.0558948771795,878332.984105
5,6000000.0,0.78,0.15,0.12,164012.549005,850242.500995,4.20632091123e+11,1.29287659717e+11,0.094704592484,1014255.1447
6,6000000.0,0.78,0.15,0.12,152914.022573,931181.037427,4.20632091123e+11,1.29287659717e+11,0.0383254555054,1084095.09833
7,6000000.0,0.78,0.15,0.12,96076.2060597,952498.86394,4.20632091123e+11,1.29287659717e+11,62696.5716278,1111271.64163
8,6000000.0,0.78,0.15,0.12,213413.159801,895081.920199,4.20632091123e+11,1.29287659717e+11,0.171277487883,1108495.25128
9,6000000.0,0.78,0.15,0.12,250315.598622,748639.491378,4.20632091123e+11,1.29287659717e+11,0.172889498645,998954.917111
10,6000000.0,0.78,0.15,0.12,,537927.712537,4.20632091123e+11,1.29287659717e+11,,806367.083917
11,6000000.0,0.78,0.15,0.12,,322712.465526,4.20632091123e+11,1.29287659717e+11,,693865.044163
12,6000000.0,0.78,0.15,0.12,,158519.421044,4.20632091123e+11,1.29287659717e+11,,719506.850189
13,6000000.0,0.78,0.15,0.12,,62966.3964416,4.20632091123e+11,1.29287659717e+11,,794844.968053
14,6000000.0,0.78,0.15,0.12,,20065.1579147,4.20632091123e+11,1.29287659717e+11,,845015.020321
15,6000000.0,0.78,0.15,0.12,,5102.90617916,4.20632091123e+11,1.29287659717e+11,,863866.421154
