,11.00-19:00,19:00-23:00,23:00-7:00,7:00-9:00,9:00-11:00
115,743248.0,401808.0,727848.0,183480.0,189552.0
116,741576.0,385880.0,772640.0,199496.0,197032.0
117,618024.0,316272.0,723624.0,183656.0,186120.0
118,394680.0,198704.0,524480.0,134024.0,135256.0
119,339768.0,159544.0,405856.0,100936.0,106832.0
120,479600.0,297000.0,335368.0,84920.0,87032.0
121,695288.0,379368.0,648208.0,163768.0,169928.0
122,728904.0,394416.0,747736.0,193160.0,193336.0
123,784960.0,412104.0,798072.0,204952.0,206008.0
124,800448.0,417296.0,819720.0,208296.0,208736.0
125,797720.0,416592.0,814792.0,207416.0,209000.0
126,799128.0,416416.0,829400.0,213312.0,212256.0
127,768944.0,391688.0,816728.0,205832.0,208208.0
128,723184.0,378576.0,757416.0,190872.0,193160.0
129,779152.0,412544.0,735592.0,187176.0,188672.0
130,810832.0,423720.0,829048.0,210760.0,211728.0
131,794640.0,413160.0,815848.0,206448.0,210848.0
132,794464.0,415184.0,796224.0,200376.0,207152.0
133,801592.0,415712.0,816552.0,208472.0,210848.0
134,794728.0,409200.0,813384.0,207592.0,208296.0
135,717376.0,359568.0,782408.0,198088.0,198792.0
136,726000.0,403304.0,658680.0,170192.0,167728.0
137,790856.0,409640.0,812856.0,204336.0,211376.0
138,795256.0,413600.0,806344.0,205568.0,206888.0
139,799040.0,416592.0,815144.0,209000.0,208824.0
140,797720.0,417648.0,812064.0,208208.0,205040.0
141,787248.0,408584.0,811008.0,208824.0,206976.0
142,767096.0,396352.0,779064.0,198704.0,203632.0
143,760760.0,404712.0,765072.0,195184.0,198000.0
144,761024.0,401368.0,786368.0,201784.0,205744.0
145,753016.0,398992.0,767800.0,201168.0,192808.0
146,739200.0,386144.0,770704.0,199408.0,194568.0
147,732952.0,386056.0,749584.0,192104.0,191664.0
148,665368.0,346016.0,709280.0,179872.0,178376.0
149,612832.0,319440.0,648120.0,162448.0,165968.0
150,636504.0,346544.0,625152.0,158048.0,159984.0
151,637824.0,332200.0,663608.0,170984.0,165792.0
152,586080.0,304656.0,619784.0,160952.0,156376.0
153,540936.0,281952.0,579392.0,150744.0,145816.0
154,439296.0,221496.0,499664.0,130592.0,124608.0
155,323488.0,162360.0,362472.0,91344.0,92664.0
156,405833.142857,203170.133333,402790.4,100618.361905,100760.990476
157,411918.628571,206212.87619,408875.885714,102139.733333,102282.361905
158,418004.114286,209255.619048,414961.371429,103661.104762,103803.733333
159,424089.6,212298.361905,421046.857143,105182.47619,105325.104762
160,429009.980952,219648.0,427132.342857,106703.847619,106846.47619
161,493592.0,267872.0,445368.0,110352.0,113872.0
162,550264.0,300960.0,500104.0,126368.0,126720.0
163,604648.0,327184.0,570680.0,145464.0,145992.0
164,642576.0,342848.0,633512.0,162800.0,159984.0
165,662112.0,351912.0,654104.0,167552.0,165264.0
166,670560.0,351912.0,679800.0,173536.0,173888.0
167,683584.0,358336.0,683320.0,173976.0,173976.0
168,692472.0,360360.0,693704.0,175736.0,176616.0
169,689744.0,360272.0,725824.0,184448.0,184800.0
170,638704.0,330792.0,691152.0,173448.0,179608.0
171,684728.0,371536.0,660264.0,168432.0,171160.0
172,712096.0,373824.0,726880.0,185240.0,184536.0
173,713240.0,372592.0,732512.0,187000.0,189200.0
174,714296.0,370832.0,735328.0,189992.0,190696.0
175,709104.0,370128.0,733040.0,188144.0,187704.0
176,696432.0,360448.0,727496.0,186648.0,182072.0
177,597256.0,299376.0,700656.0,179608.0,181720.0
178,561088.0,304656.0,533104.0,140888.0,134288.0
179,671792.0,369600.0,651904.0,167728.0,168520.0
180,700128.0,365288.0,721952.0,193600.0,184536.0
181,730224.0,386144.0,743864.0,194128.0,190960.0
182,743864.0,390280.0,764280.0,198440.0,197648.0
183,727232.0,379192.0,777040.0,197384.0,197736.0
184,675048.0,347952.0,709104.0,179784.0,182248.0
185,752048.0,413952.0,709192.0,179080.0,185240.0
186,788128.0,410696.0,798248.0,202664.0,203720.0
187,803000.0,415976.0,809512.0,208560.0,203808.0
188,771672.0,394416.0,812152.0,209440.0,206184.0
189,772728.0,402952.0,783200.0,202136.0,199584.0
190,720896.0,363792.0,787512.0,201432.0,199672.0
191,672936.0,351736.0,695816.0,178112.0,177320.0
192,745360.0,407880.0,663960.0,168256.0,168784.0
193,777216.0,386760.0,829576.0,218240.0,216480.0
