991504	482504	793016	253120	253160
944592	451352	1020928	259760	257160
812560	396680	858720	219400	209120
958512	467872	983280	248400	248600
959232	467872	999560	252800	248920
1028256	502976	1048400	264840	266200
1016784	492480	1072584	273856	267344
1005776	487376	1050840	266160	263480
1002232	486112	1045968	266376	260040
994136	478280	1042624	263560	261888
983520	480680	1029824	262328	254440
957800	466936	1023264	261944	255800
861352	416856	901328	228888	225544
985248	475904	976888	248424	245608
1005176	486176	1033384	261272	260480
993344	480144	1061984	268840	267608
987800	476520	1039192	264352	259072
995280	481272	1033208	261360	258984
981992	478104	1021680	255992	252648
946528	461560	1003200	251416	247896
989120	480656	1034792	258016	260920
994344	482504	1050800	260744	260192
1009096	489016	1063832	265408	263648
1022912	495440	1084952	272272	270776
1031448	504944	1090848	271480	272448
941880	440800	1052416	266864	259120
744392	361328	783288	198000	194744
935480	451000	971960	242088	243848
911592	443344	976312	242880	242704
721800	342400	901560	227120	219240
620504	302104	646712	162800	163152
621808	306240	647680	162928	160072
663944	323744	661016	163584	168168
817912	400048	806040	200240	203280
899760	438416	934528	234456	230680
935168	456768	963040	240360	239800
922064	449904	983320	244360	243520
951192	462704	1006280	250272	249480
937024	455312	1007072	251152	250800
896808	436832	984280	246136	244024
830808	403128	880264	221936	215336
890736	434016	912912	228536	224136
914432	443104	944152	233640	235752
918000	444792	971680	241880	240400
869088	420992	957000	239976	234168
857512	416872	914576	229096	225520
825112	401456	887120	224080	221680
717464	350592	792288	198512	195976
839872	406912	880112	222168	215952
831024	397936	897144	222288	221112
867680	420728	899888	224752	221672
890296	429968	935176	234080	230560
883432	423632	945736	234520	232672
842600	412280	889680	223080	219384
798320	390520	839784	210408	207416
892912	431440	943184	236896	232496
893008	433632	964032	240496	239096
902088	434368	973808	246136	241472
860376	413952	948464	236984	234432
781088	374000	884040	222200	217624
693680	336000	713760	175560	175208
677020	324420	738120	183240	181200
808800	391060	829800	205960	204720
852840	412800	876280	217360	213960
879560	426480	918560	229440	228400
917240	444760	961280	240200	239480
920400	446440	975080	243560	240600
908360	441480	966720	242120	238400
799320	388640	831960	207960	205040
911700	440700	965540	238540	240840
894432	434632	951159.5932	238000	231655.5932
904992	438680	956648	236368	234784
873048	426272	940368	232232	233640
818400	401280	918720	226336	226336
806080	395824	850080	207856	212872
677776	338272	740432	184008	184624
869088	429528	909392	224224	232320
859144	425128	945472	236808	240328
832304	411136	931216	234080	237864
827552	408496	913968	231088	229592
824032	408848	914848	232144	230824
771320	375496	855096	216920	214456
726528	355168	801856	201608	201168
790064	389400	887656	225720	223608
762520	376024	875072	219472	220440
701272	343728	832744	212432	207592
676808	338888	759616	192016	192016
695024	342232	790504	199320	201168
621016	300432	744392	187528	186560
570768	311256	629992	160072	159104
728640	407000	640376	157784	164296
822272	430056	861960	217888	220440
801416	419408	853952	215952	212344
796576	418440	828344	208648	208472
799216	415008	844888	213224	211288
718608	360888	811008	203984	203192
720720	395648	722568	183568	182512
807224	426624	834504	210672	210056
814968	429000	846208	214896	212080
807136	419760	851488	213664	215776
796312	417208	855712	217008	214456
758296	389752	822448	207944	202928
778008	372504	793496	199848	196856
762344	361416	786544	198968	194920
759440	360712	776072	199496	193160
759088	362208	767448	196328	188936
715176	369600	772552	199848	195976
674784	351648	703120	178200	180488
756624	407264	718784	181280	184008
789448	416944	805552	206096	208120
800184	420024	819104	210672	208736
822096	436920	825440	209088	212784
802472	422136	833976	216480	219208
780296	403656	808280	202752	210848
745976	386584	781968	195536	202400
743248	401808	727848	183480	189552
741576	385880	772640	199496	197032
618024	316272	723624	183656	186120
394680	198704	524480	134024	135256
339768	159544	405856	100936	106832
479600	297000	335368	84920	87032
695288	379368	648208	163768	169928
728904	394416	747736	193160	193336
784960	412104	798072	204952	206008
800448	417296	819720	208296	208736
797720	416592	814792	207416	209000
799128	416416	829400	213312	212256
768944	391688	816728	205832	208208
723184	378576	757416	190872	193160
779152	412544	735592	187176	188672
810832	423720	829048	210760	211728
794640	413160	815848	206448	210848
794464	415184	796224	200376	207152
801592	415712	816552	208472	210848
794728	409200	813384	207592	208296
717376	359568	782408	198088	198792
726000	403304	658680	170192	167728
790856	409640	812856	204336	211376
795256	413600	806344	205568	206888
799040	416592	815144	209000	208824
797720	417648	812064	208208	205040
787248	408584	811008	208824	206976
767096	396352	779064	198704	203632
760760	404712	765072	195184	198000
761024	401368	786368	201784	205744
753016	398992	767800	201168	192808
739200	386144	770704	199408	194568
732952	386056	749584	192104	191664
665368	346016	709280	179872	178376
612832	319440	648120	162448	165968
636504	346544	625152	158048	159984
637824	332200	663608	170984	165792
586080	304656	619784	160952	156376
540936	281952	579392	150744	145816
439296	221496	499664	130592	124608
323488	162360	362472	91344	92664
405833.1429	203170.1333	402790.4	100618.3619	100760.9905
411918.6286	206212.8762	408875.8857	102139.7333	102282.3619
418004.1143	209255.619	414961.3714	103661.1048	103803.7333
424089.6	212298.3619	421046.8571	105182.4762	105325.1048
429009.981	219648	427132.3429	106703.8476	106846.4762
493592	267872	445368	110352	113872
550264	300960	500104	126368	126720
604648	327184	570680	145464	145992
642576	342848	633512	162800	159984
662112	351912	654104	167552	165264
670560	351912	679800	173536	173888
683584	358336	683320	173976	173976
692472	360360	693704	175736	176616
689744	360272	725824	184448	184800
638704	330792	691152	173448	179608
684728	371536	660264	168432	171160
712096	373824	726880	185240	184536
713240	372592	732512	187000	189200
714296	370832	735328	189992	190696
709104	370128	733040	188144	187704
696432	360448	727496	186648	182072
597256	299376	700656	179608	181720
561088	304656	533104	140888	134288
671792	369600	651904	167728	168520
700128	365288	721952	193600	184536
730224	386144	743864	194128	190960
743864	390280	764280	198440	197648
727232	379192	777040	197384	197736
675048	347952	709104	179784	182248
752048	413952	709192	179080	185240
788128	410696	798248	202664	203720
803000	415976	809512	208560	203808
771672	394416	812152	209440	206184
772728	402952	783200	202136	199584
720896	363792	787512	201432	199672
672936	351736	695816	178112	177320
745360	407880	663960	168256	168784
777216	386760	829576	218240	216480
